CATEGORIA;MARCA;REST_OA;REST_GT;REST_AAD;REST_AAR;REST_AN;REST_CN;REST_CA;REST_PREC;SELO_CLEAN;SELO_VEGAN;SELO_TRANS;SELO_ORGANIC
Iogurte;Verde Campo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pró Sabor;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Dom José;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Lopes;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Coperpão;sim;não;sim;não;não;não;não;não;não;não;não;não
Molho de Tomate;Predilecta;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Lugano;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lugano;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Vigor;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Bodega do Pão;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Nutri Good;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Chococo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Rede Integrada Supermercados;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pullman;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Vital;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;"Chef \u0026amp; Você";sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Trapa;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Ki-Kakau;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Divine;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Belgian;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Nat Pães;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Chocolate Caseiro Gramado;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Balsamo;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Pinheirense;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Mars;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Veneza;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Lekker;sim;não;sim;não;não;não;não;não;não;não;não;não
Molho de Tomate;Dia;sim;não;sim;não;não;não;não;não;sim;não;não;não
Iogurte;Porto Alegre;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Newbread;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Seven Boys;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lugano;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Eita Pão Bom!;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Nespresso;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Salubi;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Kopenhagen;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Bomtlê;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Member's Mark;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Re-Ali Junior;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Copame;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Viva Livre;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Canto de Minas;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pão Leve;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Nutrella;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Majucau;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Supermercado Pinheiro;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Caseirinho;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;House of Maya;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Priscyla França Chocolates;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Pão Leve;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pão Leve;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pão Leve;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Itambé;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Delícias do Trigo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Cozinha Aí;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Holandês;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Festval;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;da Dani;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cacau Noir;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Festival;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Re-Ali Junior;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Baldoni;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;The Old Baker;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Perugina;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Baldoni;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Panco;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Delícias do Trigo;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Uni Sabor;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Moo;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;São Francisco;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;"Trigo \u0026amp; Sabor";sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Luke;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Top Chef;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Perugina;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Schogetten;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Magian Cacao;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Nugali;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;La Barr;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Plusvita;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Vó Neuza;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Manicrem;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Marsala;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Flamboyant;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Canto do Pão;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Helga's Brot;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Vigor;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Wickbold;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Carrefour;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;BH;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Auriana;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Danke;sim;não;sim;não;não;não;não;não;não;não;não;não
Molho de Tomate;Do Tomate;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Pane Plus;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Vó Neuza;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;La Barr;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Amora da Serra;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Amora da Serra;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Nutrella;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Danke;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Magian Cacao;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Bary;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Makemake;sim;não;sim;não;não;não;não;não;não;não;não;não
Molho de Tomate;Member's Mark;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Divine;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Sabian Sabores;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Tatá;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Milka;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Bonavie;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Nestlé;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Casa Lasevicius;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Vieira;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Arte Massas;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Vigor;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Divine;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Açaí Fruta Brasileira;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Melken Harald;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Brasil Cacau;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Speciale;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Itambé;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Divine;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Florenzano;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Alpia;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Dia;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Danke;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;E. Wedel;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cacaunativa;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Member's Mark;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Delícias do Trigo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Feletti;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Select;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Yör Chocolates;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Fred;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Putz;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Re-Ali Junior;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Maitre Truffout;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Farias;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lugano;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Batalha;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Qualitá;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Danke;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Brasil Cacau;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Baldini;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Pepe Chocolates;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Só Alegria;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Parceria;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Luisa Abram;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Dom Lion;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pullman;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Nugali;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Chocolates Espirito Santo;sim;não;sim;não;não;não;não;não;sim;não;não;sim
Iogurte;Carolina;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Giassi;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cacau Brasileiro;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;E. Wedel;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Favo de Mel;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Max Atacadista;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Farina's;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Aldeia Fermelã;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dia;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Mondelez;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Ofner;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Vale das Palmeiras;sim;não;sim;não;não;não;não;não;não;não;não;sim
Pão;Supermercado Pinheiro;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Milka;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Dia;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Dia;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Nestlé;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Vigor;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pane Plus;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Danke;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Vovó Tiná;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Panolli;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Santa Pausa;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Qualitá;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Trapa;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Feletti;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Nutri Good;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Padaria Nota 10;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Équilibre;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Arte Massas;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Paixão;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Wickbold;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Batavo;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Laticínios Holandês;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Laticínio Oeste;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Ros Roys;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cacau Show;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Marie Ange Di Costa;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Super Nosso;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Rei do Queijo;sim;não;sim;não;não;não;não;não;não;não;não;não
Molho de Tomate;Santa Amália;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;House of Maya;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Bio Natural;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Prawer;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Natpães;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Thabrulai;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Astral;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Rede Super;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cachet;sim;não;sim;não;não;não;não;não;não;não;não;não
